name,type,for_profit,admissions_rate,average_net_price_public,average_net_price_private,median_10yr_earnings,median_debt,completion_rate,average_net_price
Judson University,Private,No,0.712,NULL,20765,42800,19500,0.5448,20765
Lake Forest College,Private,No,0.5299,NULL,24628,50900,25745,0.7241,24628
Lewis University,Private,No,0.5383,NULL,19793,48800,19500,0.6703,19793
Lincoln Christian University,Private,No,0.6213,NULL,17940,30900,18500,0.6667,17940
Loyola University Chicago,Private,No,0.7059,NULL,33036,54100,20000,0.7715,33036
McKendree University,Private,No,0.617,NULL,20479,45800,17500,0.5123,20479
Millikin University,Private,No,0.6459,NULL,20435,42900,20000,0.6056,20435
National Louis University,Private,No,0.8559,NULL,15579,44600,14000,0.5,15579
North Central College,Private,No,0.544,NULL,24231,47800,19500,0.6883,24231
North Park University,Private,No,0.5373,NULL,19676,43700,19500,0.5863,19676
Northern Illinois University,Public,No,0.5332,19823,NULL,45500,18250,0.4497,19823
Northwestern University,Private,No,0.0924,NULL,24047,69000,14385,0.9376,24047
Northeastern Illinois University,Public,No,0.6939,17312,NULL,37900,10500,0.2302,17312
Olivet Nazarene University,Private,No,0.6617,NULL,20490,40400,19000,0.6629,20490
Quincy University,Private,No,0.6732,NULL,17187,39500,12000,0.4565,17187
Robert Morris University Illinois,Private,No,0.6688,NULL,21333,32300,15000,0.3913,21333
Rockford University,Private,No,0.4656,NULL,20601,45200,18750,0.4146,20601
Roosevelt University,Private,No,0.6951,NULL,24894,43600,18000,0.3986,24894
Dominican University,Private,No,0.6498,NULL,17786,47100,20834,0.6208,17786
University of St Francis,Private,No,0.5167,NULL,18571,53100,20280,0.6278,18571
Saint Xavier University,Private,No,0.746,NULL,14461,48200,18000,0.5241,14461
University of Illinois at Springfield,Public,No,0.5241,12197,NULL,44600,14000,0.5021,12197
Southern Illinois University-Carbondale,Public,No,0.7601,17175,NULL,42900,16000,0.4012,17175
Southern Illinois University-Edwardsville,Public,No,0.8951,15574,NULL,43000,14286,0.4853,15574
Trinity Christian College,Private,No,0.829,NULL,21782,42200,21500,0.688,21782
Trinity International University-Illinois,Private,No,0.75,NULL,19887,41100,16556,0.5159,19887
Western Illinois University,Public,No,0.5997,15844,NULL,43200,18661,0.5045,15844
Wheaton College,Private,No,0.85,NULL,28005,48400,20100,0.8893,28005
Anderson University,Private,No,0.6525,NULL,23799,37200,19500,0.5746,23799
Ball State University,Public,No,0.6208,15187,NULL,41100,17500,0.6157,15187
Bethel College-Indiana,Private,No,0.8977,NULL,18876,37800,19500,0.6421,18876
Butler University,Private,No,0.6513,NULL,36249,56600,23250,0.787,36249
Calumet College of Saint Joseph,Private,No,NULL,NULL,11649,42000,14800,0.2358,11649
Earlham College,Private,No,0.5184,NULL,19454,35000,19000,0.6824,19454
University of Evansville,Private,No,0.6996,NULL,20517,41800,20000,0.717,20517
Goshen College,Private,No,0.6388,NULL,19251,37700,14500,0.7235,19251
Grace College and Theological Seminary,Private,No,0.8209,NULL,21452,34900,16772,0.6245,21452
Huntington University,Private,No,0.8053,NULL,21892,36200,23000,0.5992,21892
Purdue University Fort Wayne,Public,No,0.9441,12464,NULL,36500,12019,0.3164,12464
Indiana University-Purdue University-Indianapolis,Public,No,0.7965,12021,NULL,42500,14287,0.4499,12021
University of Indianapolis,Private,No,0.8218,NULL,21145,40600,18500,0.5621,21145
Indiana Institute of Technology,Private,No,0.7613,NULL,24829,42700,9500,0.3385,24829
University of Southern Indiana,Public,No,0.936,13319,NULL,37000,13250,0.4067,13319
Indiana State University,Public,No,0.8451,13012,NULL,39000,12500,0.3872,13012
Indiana University-Kokomo,Public,No,0.7028,9073,NULL,36200,11000,0.3892,9073
Indiana University-South Bend,Public,No,0.7771,9169,NULL,34900,11532,0.2924,9169
Indiana University-Bloomington,Public,No,0.7601,14351,NULL,47700,17000,0.7733,14351
Indiana University-Northwest,Public,No,0.7444,8358,NULL,36300,12500,0.2798,8358
Indiana University-Southeast,Public,No,0.8275,10268,NULL,37900,11584,0.3191,10268
Indiana University-East,Public,No,0.6966,8895,NULL,31500,12970,0.3571,8895
Manchester University,Private,No,0.6058,NULL,19831,40700,16750,0.5496,19831
Marian University,Private,No,0.5872,NULL,20366,43300,19500,0.5217,20366
Indiana Wesleyan University-Marion,Private,No,0.7202,NULL,19333,49900,16667,0.6282,19333
Martin University,Private,No,NULL,NULL,16433,24700,17730,0.0625,16433
University of Notre Dame,Private,No,0.1892,NULL,28768,78400,19000,0.9524,28768
Oakland City University,Private,No,0.7133,NULL,16504,33600,12500,0.5326,16504
Rose-Hulman Institute of Technology,Private,No,0.6094,NULL,36906,80900,24834,0.8075,36906
University of Saint Francis-Fort Wayne,Private,No,0.9872,NULL,18916,40400,18180,0.5753,18916
Saint Mary-of-the-Woods College,Private,No,0.7576,NULL,16787,32300,12260,0.5714,16787
Saint Mary's College,Private,No,0.7825,NULL,23244,46200,25000,0.7908,23244
Taylor University,Private,No,0.8679,NULL,24525,38000,15750,0.7852,24525
Trine University,Private,No,0.701,NULL,23499,43300,17750,0.545,23499
Valparaiso University,Private,No,0.8428,NULL,21946,48500,21500,0.7221,21946
