name,type,for_profit,admissions_rate,average_net_price_public,average_net_price_private,median_10yr_earnings,median_debt,completion_rate,average_net_price
University of the Potomac-VA Campus,Private,Yes,NULL,NULL,19769,47600,13002,1,19769
Pacific College of Oriental Medicine-Chicago,Private,Yes,NULL,NULL,25450,22600,12271,1,25450
University of Antelope Valley,Private,Yes,NULL,NULL,23781,24400,9500,0.6699,23781
DigiPen Institute of Technology,Private,Yes,0.5387,NULL,35538,80200,20750,0.4286,35538
Dewey University-Hato Rey,Private,No,NULL,NULL,5085,17400,3681,0.6361,5085
Strayer University-Tennessee,Private,Yes,NULL,NULL,21929,45900,12667,0.3333,21929
Strayer University-Pennsylvania,Private,Yes,NULL,NULL,21472,45900,12667,0.2,21472
American InterContinental University,Private,Yes,NULL,NULL,12156,37300,9500,0.2189,12156
American InterContinental University-Houston,Private,Yes,NULL,NULL,16835,37300,9500,0.32,16835
Ave Maria University,Private,No,0.4212,NULL,19129,32800,13683,0.5459,19129
Argosy University-Los Angeles,Private,Yes,NULL,NULL,22481,41400,15585,0.3077,22481
Shorter University-College of Adult & Professional Programs,Private,No,0,NULL,19526,43200,16168,0.6111,19526
Argosy University-Denver,Private,Yes,NULL,NULL,18847,41400,15585,0,18847
University of South Florida-St Petersburg,Public,No,0.3993,12086,NULL,43500,15500,0.3559,12086
Arizona State University-Downtown Phoenix,Public,No,0.7721,10936,NULL,47700,14271,0.656,10936
Strayer University-Florida,Private,Yes,NULL,NULL,23947,45900,12667,0,23947
American Public University System,Private,Yes,NULL,NULL,10284,62400,9500,0.4134,10284
South University-Tampa,Private,Yes,NULL,NULL,24766,33400,12667,0.2143,24766
Strayer University-Alabama,Private,Yes,NULL,NULL,24836,45900,12667,0,24836
Argosy University-Nashville,Private,Yes,NULL,NULL,18561,41400,15585,0.1111,18561
Argosy University-San Diego,Private,Yes,NULL,NULL,26627,41400,15585,0.5,26627
Strayer University-North Carolina,Private,Yes,NULL,NULL,24779,45900,12667,0.25,24779
Chamberlain University-Illinois,Private,Yes,0.62,NULL,22359,58400,17838,0.5,22359
Argosy University-Phoenix Online Division,Private,Yes,NULL,NULL,27620,41400,15585,0.0456,27620
Polytechnic University of Puerto Rico-Orlando,Private,No,NULL,NULL,11560,29800,11000,0.5,11560
Pacific Rim Christian University,Private,No,0.569,NULL,18129,29500,13250,0.6316,18129
West Coast University-Orange County,Private,Yes,0.9667,NULL,44573,54900,24464,0.5,44573
Strayer University-Georgia,Private,Yes,NULL,NULL,24501,45900,12667,0.2857,24501
Strayer University-South Carolina,Private,Yes,NULL,NULL,15786,45900,12667,0,15786
Strayer University-Texas,Private,Yes,NULL,NULL,22451,45900,12667,0,22451
South University-Richmond,Private,Yes,NULL,NULL,25302,33400,12667,0.08,25302
South University-Virginia Beach,Private,Yes,NULL,NULL,23678,33400,12667,0.16,23678
Herzing University-Kenosha,Private,No,0.3684,NULL,25531,37800,12695,0.2857,25531
Herzing University-Brookfield,Private,No,0.9615,NULL,20298,37800,12695,0.4815,20298
Strayer University-Global Region,Private,Yes,NULL,NULL,23251,45900,12667,0,23251
Independence University,Private,No,NULL,NULL,28391,28800,9246,0.2607,28391
South University-Novi,Private,Yes,NULL,NULL,23798,33400,12667,0.2222,23798
Los Angeles Pacific University,Private,No,NULL,NULL,20263,51100,18970,0.1111,20263
South University-Savannah Online,Private,Yes,NULL,NULL,23262,33400,12667,0.0297,23262
Pennsylvania State University-World Campus,Public,No,0.6679,19221,NULL,50100,19500,0.2754,19221
Warner Pacific University Professional and Graduate Studies,Private,No,NULL,NULL,18633,41000,23000,0.5714,18633
Augusta University,Public,No,0.7459,16771,NULL,62300,14000,0.2734,16771
DeVry College of New York,Private,Yes,0.9206,NULL,30304,44100,15760,0.2564,30304
DeVry University-Arizona,Private,Yes,0.9231,NULL,28460,44100,15760,0.2521,28460
DeVry University-California,Private,Yes,0.9014,NULL,26467,44100,15760,0.3203,26467
DeVry University-Colorado,Private,Yes,1,NULL,29795,44100,15760,0.4231,29795
DeVry University-Florida,Private,Yes,0.8387,NULL,25793,44100,15760,0.3333,25793
DeVry University-Georgia,Private,Yes,0.8974,NULL,26934,44100,15760,0.2331,26934
DeVry University-Illinois,Private,Yes,0.9473,NULL,30329,44100,15760,0.2062,30329
DeVry University-Indiana,Private,Yes,1,NULL,20359,44100,15760,0.2941,20359
DeVry University-Missouri,Private,Yes,1,NULL,27685,44100,15760,0.2639,27685
DeVry University-Nevada,Private,Yes,0.75,NULL,31241,44100,15760,0.2143,31241
DeVry University-New Jersey,Private,Yes,1,NULL,23160,44100,15760,0.38,23160
DeVry University-North Carolina,Private,Yes,1,NULL,28508,44100,15760,0.1667,28508
DeVry University-Ohio,Private,Yes,0.9583,NULL,27533,44100,15760,0.2708,27533
DeVry University-Pennsylvania,Private,Yes,1,NULL,28390,44100,15760,0.1111,28390
DeVry University-Texas,Private,Yes,0.9333,NULL,31788,44100,15760,0.2277,31788
DeVry University-Virginia,Private,Yes,0.7,NULL,33227,44100,15760,0.4091,33227
University of North Georgia,Public,No,0.7807,9854,NULL,41900,9374,0.286,9854
Arizona State University-Skysong,Public,No,0.6342,11732,NULL,47700,14271,0.1389,11732
University of Phoenix-Arizona,Private,Yes,NULL,NULL,15023,47100,18500,0.1433,15023
University of Phoenix-California,Private,Yes,NULL,NULL,15420,47100,18500,0.1838,15420
University of Phoenix-Colorado,Private,Yes,NULL,NULL,18250,47100,18500,0.1602,18250
University of Phoenix-Florida,Private,Yes,NULL,NULL,14256,47100,18500,0.1511,14256
University of Phoenix-Georgia,Private,Yes,NULL,NULL,17196,47100,18500,0.1171,17196
University of Phoenix-Nevada,Private,Yes,NULL,NULL,14875,47100,18500,0.1506,14875
University of Phoenix-North Carolina,Private,Yes,NULL,NULL,17526,47100,18500,0.1433,17526
University of Phoenix-Texas,Private,Yes,NULL,NULL,15565,47100,18500,0.1612,15565
University of Phoenix-Virginia,Private,Yes,NULL,NULL,15125,47100,18500,0.1265,15125
University of Phoenix-Pennsylvania,Private,Yes,NULL,NULL,13585,47100,18500,0.1339,13585
University of North Texas at Dallas,Public,No,0.7397,4513,NULL,45000,10868,0.2632,4513
